protname	./4-07.stats	./4-08.stats	./4-09.stats	./4-10.stats	./4-11.stats	./4-12.stats	./4-13.stats	./4-14.stats	./4-15.stats	./4-16.stats	./4-17.stats	./4-18.stats	./4-19.stats	./4-20.stats	./4-21.stats	./4-22.stats	./4-23.stats
S13	0.33445	0.4357	0.17535	0.2484	0.5052	0.81945	0.83495	0.75295	0.5685	0.49725	0.34	0.4118	0.6076	0.6939	0.7298	0.76	0.69075
S14	0.3099	0.4417	0.5145	0.2871	0.4555	0.79045	0.81085	0.73655	0.5576	0.5636	0.307	0.4188	0.5887	0.6773	0.7198	0.76855	0.7024
S15	0.5002	0.5054	0.3572	0.5309	0.6767	0.83095	0.8372	0.74605	0.5547	0.4944	0.3247	0.3947	0.59505	0.6809	0.7243	0.75315	0.6881
S16	0.1657	0.27315	0.2811	0.4914	0.6437	0.81445	0.83285	0.7419	0.55945	0.481	0.30855	0.41	0.6014	0.6913	0.731	0.7626	0.69405
S17	0.2197	0.33605	0.3165	0.5077	0.6699	0.8282	0.8336	0.74155	0.5693	0.4906	0.3128	0.40415	0.5958	0.6887	0.7212	0.7551	0.6837
S18	0.4851	0.3462	0.3757	0.5482	0.6754	0.8377	0.8416	0.7653	0.61485	0.5604	0.36335	0.4556	0.6095	0.68875	0.7207	0.757	0.6908
S19	0.3781	0.4602	0.2334	0.2919	0.5229	0.8106	0.8301	0.74005	0.5515	0.48405	0.3237	0.4048	0.60455	0.68095	0.73225	0.75255	0.6848
S20L26	0.1317	0.24765	0.27795	0.495	0.6412	0.8309	0.8302	0.7547	0.5619	0.4867	0.32525	0.4348	0.6014	0.6926	0.7336	0.75815	0.6864
S21	0.8998	0.43015	0.1061	0.0647	0.21395	0.6757	0.73255	0.5999	0.37415	0.3323	0.2495	0.4301	0.60595	0.69755	0.7398	0.7681	0.6966
L1	0.24335	0.39645	0.26595	0.28515	0.2676	0.1661	0.16645	0.39275	0.5501	0.6135	0.6658	0.73325	0.6704	0.6519	0.7046	0.7418	0.6754
L2	0.1281	0.1578	0.0983	0.1698	0.1688	0.1375	0.1387	0.3204	0.5066	0.58625	0.6736	0.73895	0.6823	0.65595	0.7053	0.7443	0.67875
L3	0.1371	0.3069	0.2336	0.2557	0.243	0.1545	0.1537	0.3916	0.5581	0.623	0.6767	0.7469	0.683	0.6531	0.70645	0.7403	0.6795
L4	0.0545	0.1248	0.09245	0.20415	0.2715	0.1886	0.1715	0.3751	0.54715	0.61995	0.6775	0.7463	0.6828	0.6541	0.70895	0.74565	0.67515
L5	0.2542	0.37475	0.2608	0.272	0.2538	0.1556	0.159	0.36765	0.547	0.61195	0.6753	0.75525	0.6802	0.65485	0.711	0.74625	0.6789
L6	0.23215	0.3051	0.177	0.22445	0.21655	0.1231	0.0951	0.17155	0.2345	0.4032	0.6439	0.7367	0.6662	0.6505	0.7088	0.7471	0.67695
L7	0.1906	0.22885	0.1416	0.22	0.2092	0.13145	0.1201	0.244	0.3741	0.4813	0.65565	0.74345	0.67765	0.6596	0.7186	0.74965	0.6913
L9	0.4066	0.5127	0.3283	0.3588	0.34285	0.2109	0.17485	0.3186	0.39675	0.4599	0.65895	0.7451	0.679	0.6587	0.7135	0.7476	0.6788
L10	0.2796	0.23025	0.1246	0.18755	0.191	0.1263	0.1191	0.2456	0.3731	0.4785	0.6534	0.744	0.6745	0.666	0.7163	0.7523	0.6889
L11	0.31305	0.3721	0.2032	0.31795	0.36555	0.2379	0.2097	0.40065	0.54085	0.5999	0.6749	0.7507	0.6821	0.6611	0.7098	0.7507	0.6813
L13	0.2407	0.2887	0.13915	0.2546	0.3072	0.2014	0.1736	0.3533	0.5175	0.5945	0.6726	0.7545	0.68055	0.6518	0.70285	0.7396	0.6762
L14	0.1077	0.1641	0.1031	0.1483	0.15745	0.0985	0.0842	0.21655	0.3869	0.5362	0.6603	0.7469	0.6754	0.65045	0.7093	0.7466	0.6798
L15	0.1049	0.0819	0.0465	0.13765	0.20835	0.14255	0.1322	0.2997	0.4853	0.58295	0.677	0.7519	0.6845	0.66075	0.7123	0.7507	0.6871
L16	0.1207	0.2865	0.188	0.1362	0.1289	0.1386	0.1552	0.1673	0.18605	0.2563	0.576	0.7214	0.664	0.6579	0.7284	0.7508	0.6866
L17	0.7625	0.8337	0.7278	0.8027	0.8666	0.8801	0.8677	0.8899	0.9187	0.9331	0.9226	0.9295	0.91835	0.90595	0.9087	0.91985	0.889
L18	0.23425	0.37785	0.2701	0.2898	0.261	0.1725	0.1716	0.3796	0.5444	0.6179	0.6769	0.7344	0.6804	0.6616	0.7099	0.749	0.68735
L19	0.1143	0.60215	0.1255	0.1492	0.1365	0.1165	0.1142	0.324	0.4843	0.5763	0.6772	0.7427	0.6784	0.6494	0.7169	0.744	0.6769
L20	0.2878	0.2703	0.29575	0.2547	0.3023	0.2068	0.1851	0.3821	0.5374	0.6185	0.6735	0.74515	0.68315	0.64995	0.69955	0.741	0.675
L21	0.1824	0.2105	0.6875	0.22235	0.2811	0.18505	0.1653	0.3578	0.5296	0.6085	0.6712	0.7533	0.6743	0.6473	0.7078	0.73275	0.6715
L22	0.8995	0.09835	0.0684	0.1761	0.2546	0.1942	0.18035	0.3704	0.5285	0.6167	0.6805	0.762	0.68285	0.66085	0.7093	0.75425	0.6809
L23	0.2358	0.2191	0.3976	0.1752	0.1993	0.1571	0.1698	0.3205	0.5206	0.6092	0.6646	0.70355	0.67765	0.6469	0.7006	0.741	0.67345
L24	0.2646	0.35285	0.20095	0.3168	0.3781	0.2433	0.2222	0.4173	0.5752	0.6263	0.6783	0.74865	0.6828	0.65	0.7034	0.7357	0.6776
L25	0.1477	0.2271	0.13855	0.164	0.1546	0.1752	0.11035	0.1692	0.2743	0.3867	0.6197	0.72855	0.6644	0.6482	0.71605	0.74535	0.6735
L27	0.1691	0.2496	0.1493	0.1932	0.1812	0.1055	0.107	0.1332	0.14815	0.2489	0.6105	0.7289	0.6649	0.6468	0.7022	0.7358	0.6708
L28	0.2599	0.3112	0.2103	0.2439	0.3092	0.2003	0.1824	0.238	0.2633	0.4453	0.6776	0.74825	0.6831	0.6573	0.7097	0.7504	0.6775
L29	0.1526	0.17635	0	0.3024	0.3235	0	0.2101	0.38945	0.52005	0.5982	0.62885	0.74135	0.6708	0.64025	0.7018	0.736	0.689
L30	0.307	0.35995	0.2016	0.2542	0.25675	0.15	0.10825	0.169	0.2278	0.3466	0.6241	0.7287	0.6675	0.6498	0.7037	0.7486	0.6896
L31	0.36055	0.4898	0.34865	0.3979	0.3822	0.2449	0.19955	0.42575	0.5888	0.6489	0.708	0.7836	0.7027	0.6943	0.75495	0.7807	0.71735
L32	0	0	0.62585	0	0.4856	0.5369	0.4437	0	0.3654	0.38835	0.6149	0.7275	0.6667	0.6496	0.7103	0.7529	0.6858
L33	0.27245	0.34935	0.2373	0.2698	0.31265	0.2013	0.1575	0.2047	0.2522	0.34535	0.6336	0.72945	0.6973	0.68625	0.73845	0.76375	0.6468
L34	0.2011	0.9674	0	0.5248	0.04085	0.7353	0.423	0.0944	0.33375	0.4235	0.6402	0.73045	0.65615	0.642	0.6965	0.7353	0.6766
L35	0	0	0.1463	0.3489	0	0	0	0.69845	0.037	0.11345	0.5452	0.6901	0.66055	0.66155	0.7172	0.7542	0.6814
L36	0	0.8132	0	0.727	0	0	0.4845	0	0	0	0.532	0.7142	0.64845	0.64825	0.71395	0.74305	0.6881
